0.579   TIME(s) COMM             PID     PPID    RET ARGS
doas             74006   72489     0 /usr/bin/doas /usr/share/bcc/tools/tcpconnect -t
0.582   unix_chkpwd      74007   74006     0  gwimbly 
2.367   nice             74008   2381      0 /usr/bin/nice -n 19 ionice -c3 gdbus call --system --dest org.freedesktop.NetworkManager --object-path /org/freedesktop/NetworkManager --method org.freedesktop.DBus.Properties.Get org.freedesktop.NetworkManager PrimaryConnection
2.367   nice             74009   2381      0 /usr/bin/nice -n 19 ionice -c3 nmcli -t -f DEVICE,TYPE device
2.368   ionice           74008   2381      0 /usr/bin/ionice -c3 gdbus call --system --dest org.freedesktop.NetworkManager --object-path /org/freedesktop/NetworkManager --method org.freedesktop.DBus.Properties.Get org.freedesktop.NetworkManager PrimaryConnection
2.368   nice             74010   2381      0 /usr/bin/nice -n 19 ionice -c3 nmcli -t -f DEVICE,TYPE device
2.368   nice             74011   2381      0 /usr/bin/nice -n 19 ionice -c3 nmcli -t -f UUID,TYPE,DEVICE,STATE connection show --active
2.368   ionice           74009   2381      0 /usr/bin/ionice -c3 nmcli -t -f DEVICE,TYPE device
2.368   nice             74012   2381      0 /usr/bin/nice -n 19 ionice -c3 gdbus call --system --dest org.freedesktop.NetworkManager --object-path /org/freedesktop/NetworkManager --method org.freedesktop.DBus.Properties.Get org.freedesktop.NetworkManager WirelessEnabled
2.368   nmcli            74009   2381      0 /usr/bin/nmcli -t -f DEVICE,TYPE device
2.368   gdbus            74008   2381      0 /usr/bin/gdbus call --system --dest org.freedesktop.NetworkManager --object-path /org/freedesktop/NetworkManager --method org.freedesktop.DBus.Properties.Get org.freedesktop.NetworkManager PrimaryConnection
2.368   ionice           74011   2381      0 /usr/local/bin/ionice -c3 nmcli -t -f UUID,TYPE,DEVICE,STATE connection show --active
2.368   ionice           74012   2381      0 /usr/bin/ionice -c3 gdbus call --system --dest org.freedesktop.NetworkManager --object-path /org/freedesktop/NetworkManager --method org.freedesktop.DBus.Properties.Get org.freedesktop.NetworkManager WirelessEnabled
2.368   ionice           74010   2381      0 /usr/bin/ionice -c3 nmcli -t -f DEVICE,TYPE device
2.369   nmcli            74011   2381      0 /usr/bin/nmcli -t -f UUID,TYPE,DEVICE,STATE connection show --active
2.369   gdbus            74012   2381      0 /usr/bin/gdbus call --system --dest org.freedesktop.NetworkManager --object-path /org/freedesktop/NetworkManager --method org.freedesktop.DBus.Properties.Get org.freedesktop.NetworkManager WirelessEnabled
2.369   nmcli            74010   2381      0 /usr/bin/nmcli -t -f DEVICE,TYPE device
2.371   nice             74028   2381      0 /usr/bin/nice -n 19 ionice -c3 gdbus call --system --dest org.freedesktop.NetworkManager --object-path /org/freedesktop/NetworkManager/ActiveConnection/2 --method org.freedesktop.DBus.Properties.Get org.freedesktop.NetworkManager.Connection.Active Type
2.371   ionice           74028   2381      0 /usr/bin/ionice -c3 gdbus call --system --dest org.freedesktop.NetworkManager --object-path /org/freedesktop/NetworkManager/ActiveConnection/2 --method org.freedesktop.DBus.Properties.Get org.freedesktop.NetworkManager.Connection.Active Type
2.371   gdbus            74028   2381      0 /usr/bin/gdbus call --system --dest org.freedesktop.NetworkManager --object-path /org/freedesktop/NetworkManager/ActiveConnection/2 --method org.freedesktop.DBus.Properties.Get org.freedesktop.NetworkManager.Connection.Active Type
2.377   nice             74035   2381      0 /usr/bin/nice -n 19 ionice -c3 gdbus call --system --dest org.freedesktop.NetworkManager --object-path /org/freedesktop/NetworkManager --method org.freedesktop.NetworkManager.GetDeviceByIpIface wlp8s0
2.377   ionice           74035   2381      0 /usr/bin/ionice -c3 gdbus call --system --dest org.freedesktop.NetworkManager --object-path /org/freedesktop/NetworkManager --method org.freedesktop.NetworkManager.GetDeviceByIpIface wlp8s0
